TSNE1,TSNE2,Cluster,Engagement Rate,Platform,Age,Gender,Sentiment,Region
-25.180193,-37.184933,4,116.02,Twitter,59,0,Unknown,Sweden
-12.289233,-21.639782,0,54.29,Instagram,55,1,Unknown,Liechtenstein
-27.67229,43.59881,1,14.2,Twitter,35,2,Neutral,Kiribati
-63.326023,-24.60688,4,55.41,LinkedIn,53,1,Positive,Swaziland
46.769688,-31.107721,0,65.74,LinkedIn,43,0,Unknown,Sao Tome and Principe
23.858055,1.7320559,2,16.67,Instagram,21,1,Unknown,Romania
-28.43832,45.892517,1,27.57,Twitter,54,1,Negative,Montenegro
11.368767,-38.170345,0,48.01,Facebook,45,0,Unknown,North Macedonia
-14.477979,-38.0403,0,97.45,Instagram,36,1,Unknown,Japan
27.902174,-4.417399,0,32.82,Twitter,54,0,Negative,South Africa
70.12242,-29.828308,3,144.72,Twitter,44,2,Unknown,Wallis and Futuna
-37.038063,13.792529,1,7.96,Instagram,54,1,Unknown,Falkland Islands (Malvinas)
-36.854134,-37.987625,4,113.41,Instagram,25,2,Positive,Dominica
-37.16579,24.779236,1,10.4,Instagram,56,1,Neutral,Guam
-48.128128,-5.919143,4,34.88,Facebook,20,1,Positive,Belgium
24.50553,-43.269962,0,33.22,Facebook,36,1,Unknown,New Caledonia
-31.868576,-31.864359,4,84.38,Twitter,34,1,Negative,Ecuador
-70.04941,-22.76543,4,42.6,LinkedIn,22,0,Unknown,United States Virgin Islands
48.39238,4.8573704,3,11.88,Instagram,25,2,Neutral,Ireland
20.52014,-14.284546,0,61.94,Facebook,54,2,Negative,Saint Martin
-42.96816,9.74669,1,27.08,Facebook,31,2,Unknown,Kazakhstan
55.72164,26.094929,3,18.32,Instagram,56,1,Negative,Czech Republic
12.06286,14.123903,2,27.69,Facebook,39,2,Unknown,Antarctica (the territory South of 60 deg S)
-70.058914,31.964853,1,27.52,Facebook,36,1,Unknown,Lesotho
53.194317,-26.90369,3,52.3,Twitter,60,0,Negative,Saint Pierre and Miquelon
76.05075,8.795531,3,43.1,Instagram,39,2,Unknown,United Kingdom
-42.478916,30.21188,1,30.53,Twitter,47,2,Neutral,Togo
75.327415,-23.98062,3,93.64,Facebook,35,2,Positive,Azerbaijan
-73.98512,35.107254,1,16.62,LinkedIn,32,1,Positive,Belarus
-71.90338,-34.665894,4,149.69,LinkedIn,58,2,Neutral,Finland
-28.009792,36.205418,1,33.74,LinkedIn,20,2,Unknown,Central African Republic
-39.510937,-21.41361,4,63.22,Twitter,52,0,Unknown,Saint Helena
-5.104641,35.870155,2,27.94,LinkedIn,42,0,Positive,French Southern Territories
-37.557766,-43.223206,4,71.68,LinkedIn,30,1,Unknown,Netherlands Antilles
11.487535,19.990091,2,10.6,Twitter,37,1,Negative,Burundi
51.404133,-39.189415,0,242.28,Instagram,46,0,Positive,Iceland
-51.8113,-19.428467,4,49.88,LinkedIn,36,0,Unknown,Norway
-10.703125,-18.316523,0,33.11,Twitter,59,2,Positive,Andorra
7.2162,-37.800003,0,45.96,Twitter,64,0,Unknown,United States Minor Outlying Islands
33.017693,-31.331614,0,90.54,LinkedIn,60,1,Neutral,Uganda
-61.204308,7.689545,1,30.77,Instagram,28,1,Unknown,Vanuatu
-44.849445,12.62818,1,23.06,LinkedIn,59,1,Unknown,Niger
-16.066753,46.811783,2,23.54,LinkedIn,58,1,Unknown,Iceland
-59.01851,0.62715745,4,43.31,LinkedIn,51,2,Neutral,Thailand
31.355583,-31.819113,0,81.12,Instagram,50,0,Neutral,Rwanda
-27.374624,45.731693,1,25.21,Twitter,46,2,Neutral,Lao People's Democratic Republic
-39.102646,13.084735,1,12.83,LinkedIn,49,2,Positive,Germany
-19.122772,18.086796,2,34.97,Facebook,30,1,Unknown,Mexico
-83.44729,-9.45699,4,51.99,Facebook,51,1,Unknown,Belarus
-23.490187,4.0923867,1,32.33,Facebook,31,1,Unknown,Guatemala
-47.81611,36.594048,1,31.45,Instagram,18,0,Unknown,Singapore
-80.01373,12.871582,1,20.34,Twitter,28,1,Neutral,Mauritania
76.786064,-5.1399717,3,30.16,LinkedIn,61,1,Unknown,Lao People's Democratic Republic
-36.97334,32.53277,1,27.6,Instagram,49,2,Neutral,Nepal
-75.80723,-35.33555,4,156.8,Twitter,22,2,Unknown,South Georgia and the South Sandwich Islands
-20.53746,26.902813,2,9.55,Twitter,41,0,Negative,Greenland
48.129517,-18.46634,3,57.34,Facebook,62,2,Unknown,Nepal
48.17009,-15.813258,3,20.64,Facebook,62,1,Neutral,Antarctica (the territory South of 60 deg S)
-46.904934,40.677322,1,16.31,Instagram,28,2,Positive,New Zealand
33.92623,-40.950947,0,28.56,Instagram,38,0,Unknown,Bahrain
-47.184425,25.297873,1,12.48,Instagram,35,2,Neutral,Cyprus
-20.842484,3.2062583,2,42.41,Twitter,62,0,Unknown,Rwanda
45.252785,-0.89097816,3,30.6,Instagram,54,1,Neutral,Bouvet Island (Bouvetoya)
-21.71411,-39.034973,4,105.16,Instagram,30,2,Neutral,Oman
-73.25311,24.34843,1,17.52,LinkedIn,59,0,Positive,Rwanda
52.377613,4.1489725,3,3.37,LinkedIn,61,1,Negative,Saint Vincent and the Grenadines
81.49721,33.096725,3,31.08,Instagram,53,0,Unknown,Kazakhstan
-62.14136,36.027744,1,7.38,Facebook,56,0,Unknown,Svalbard & Jan Mayen Islands
6.004472,-41.87471,0,117.56,Twitter,18,0,Negative,French Guiana
-5.1083546,2.7638578,2,44.46,Instagram,42,0,Unknown,Hong Kong
49.505283,-39.215797,0,175.04,Twitter,59,0,Unknown,Hong Kong
-56.442177,-40.3022,4,201.66,Instagram,32,0,Negative,American Samoa
2.7491808,37.198788,2,23.02,Twitter,30,0,Negative,Cuba
-84.35379,-10.256159,4,71.09,LinkedIn,58,1,Unknown,Ireland
30.261719,-13.716402,0,37.67,LinkedIn,49,1,Neutral,Palestinian Territory
51.76602,12.752787,3,34.61,Facebook,54,1,Positive,Guinea
3.3853896,-29.90512,0,23.76,Instagram,52,1,Negative,Fiji
-77.251656,-34.744637,4,168.31,LinkedIn,50,2,Negative,Germany
-32.104656,-41.797977,4,21.78,Facebook,38,0,Negative,Singapore
55.354527,9.467906,3,26.97,Facebook,39,2,Neutral,French Polynesia
-52.706654,9.432793,1,32.44,Instagram,52,1,Negative,Lebanon
24.800451,17.573896,2,45.56,LinkedIn,19,0,Unknown,Togo
42.748898,-37.30603,0,198.73,Facebook,19,0,Unknown,Grenada
-67.989334,-4.674333,4,23.57,Twitter,22,2,Unknown,Mozambique
16.812103,18.13072,2,16.61,Facebook,52,1,Unknown,Chile
70.62624,-33.515545,3,134.54,Facebook,44,2,Positive,Mayotte
28.643597,37.204845,2,8.75,Instagram,42,2,Neutral,Israel
71.50938,34.740177,3,11.95,LinkedIn,43,1,Unknown,Latvia
-58.096844,-32.544193,4,45.78,Facebook,41,0,Unknown,El Salvador
-19.11169,-30.288858,0,35.16,Facebook,64,1,Unknown,Sweden
50.071156,-7.3114686,3,24.6,Twitter,35,2,Neutral,United States Minor Outlying Islands
-23.462996,11.8959055,1,16.34,LinkedIn,35,0,Unknown,Norway
53.731926,7.03346,3,20.89,LinkedIn,32,1,Unknown,Finland
41.92007,31.635504,2,23.52,LinkedIn,32,2,Unknown,Ireland
-45.90687,26.841557,1,14.51,Instagram,29,1,Unknown,Tajikistan
74.853424,15.462297,3,18.44,Facebook,59,2,Neutral,Togo
-33.244984,11.064007,1,28.92,Facebook,60,0,Unknown,Honduras
-67.57436,-5.5887127,4,14.71,Instagram,63,1,Positive,Namibia
28.664879,-7.0045877,0,43.21,Twitter,59,1,Unknown,San Marino
-27.153793,-7.339551,4,47.02,Instagram,46,1,Unknown,Oman
-30.270792,-28.106691,4,79.53,Facebook,18,1,Positive,Netherlands Antilles
-12.309463,3.1407084,2,25.93,Instagram,43,0,Positive,Iran
-14.213266,25.65067,2,19.26,LinkedIn,47,2,Neutral,Djibouti
-20.533005,-40.826633,0,124.55,Instagram,26,0,Negative,Guam
-1.7733457,31.72773,2,20.66,Twitter,41,1,Unknown,Dominican Republic
57.886032,-32.796577,3,96.4,LinkedIn,59,1,Positive,China
59.556366,-34.17159,3,101.98,Facebook,27,0,Neutral,Tonga
-35.265404,38.39363,1,26.43,Instagram,21,1,Unknown,French Polynesia
-11.426959,6.93976,2,24.65,Twitter,65,1,Negative,Singapore
-6.177309,12.431415,2,7.93,Instagram,19,2,Negative,Spain
79.13725,13.808446,3,13.56,Twitter,31,2,Unknown,Nigeria
76.387245,-10.450667,3,63.72,Instagram,52,2,Unknown,Saudi Arabia
65.94237,11.165888,3,24.64,Twitter,40,2,Negative,Saint Martin
-69.75584,-23.648123,4,51.29,Facebook,60,1,Unknown,Liechtenstein
68.73509,24.555958,3,28.07,LinkedIn,48,1,Positive,South Georgia and the South Sandwich Islands
66.60504,-17.639078,3,66.23,Twitter,55,1,Unknown,Malta
-55.889244,-27.716492,4,56.32,Twitter,41,1,Negative,Rwanda
-30.664593,22.727612,1,15.95,LinkedIn,25,1,Unknown,Suriname
20.029444,13.563946,2,31.05,Instagram,31,2,Positive,Kazakhstan
-61.935055,-32.652664,4,78.66,Twitter,57,2,Neutral,Brazil
7.182554,18.677786,2,10.99,Twitter,60,2,Unknown,Sweden
-58.486626,25.64122,1,31.94,LinkedIn,26,0,Negative,Papua New Guinea
9.172043,12.876861,2,31.96,LinkedIn,46,0,Positive,Antarctica (the territory South of 60 deg S)
9.716553,41.390713,2,27.73,Instagram,24,1,Positive,Cocos (Keeling) Islands
-37.775555,36.755814,1,15.41,Instagram,35,1,Negative,Namibia
28.457159,-17.311777,0,18.28,Instagram,32,1,Unknown,Zambia
25.166391,-45.58623,0,107.33,Twitter,45,2,Neutral,Trinidad and Tobago
32.610355,-31.657692,0,98.65,Instagram,43,2,Unknown,Czech Republic
-81.375854,-30.331964,4,108.41,Instagram,47,0,Unknown,Saint Pierre and Miquelon
-42.88769,-28.626238,4,45.13,Twitter,41,1,Unknown,Netherlands Antilles
-60.4758,-5.226532,4,52.13,Twitter,34,2,Unknown,Eritrea
47.692947,25.95868,3,14.35,Facebook,47,2,Neutral,Kuwait
-42.691933,24.111544,1,19.01,Facebook,19,2,Unknown,Ireland
-3.6109362,6.185089,2,30.41,LinkedIn,44,1,Unknown,Kyrgyz Republic
80.466934,27.484695,3,4.08,Instagram,37,2,Negative,Sweden
-8.950148,35.192577,2,14.71,LinkedIn,29,0,Unknown,Guyana
76.72974,-2.010275,3,23.71,Facebook,21,0,Negative,Benin
-49.785004,37.15874,1,31.41,Twitter,45,0,Negative,Romania
60.461876,-5.4500756,3,31.07,Instagram,56,2,Negative,Honduras
42.41357,-11.599971,3,40.01,Twitter,42,1,Unknown,Cook Islands
78.35261,23.715595,3,29.91,Twitter,58,1,Unknown,United Arab Emirates
-18.09639,31.323357,2,12.87,LinkedIn,46,2,Neutral,Gabon
-21.001572,5.726464,2,36.85,LinkedIn,54,1,Unknown,Honduras
11.3505945,-44.773743,0,80.6,Instagram,59,1,Negative,Gabon
-60.27601,22.34746,1,25.61,LinkedIn,42,2,Negative,Jersey
14.915122,-30.929548,0,80.17,Instagram,44,0,Neutral,Cyprus
22.749432,0.31849098,2,17.27,LinkedIn,25,2,Unknown,Tanzania
5.9497123,40.376816,2,26.8,Twitter,38,0,Unknown,Italy
-44.41584,5.1141167,1,39.53,Twitter,37,2,Neutral,Togo
4.598152,6.8924313,2,30.64,LinkedIn,56,2,Unknown,Reunion
-4.9679713,-7.596823,0,48.72,LinkedIn,31,1,Neutral,Morocco
28.847988,-20.26262,0,42.18,LinkedIn,44,0,Unknown,Chile
-31.447275,-31.304214,4,77.49,Facebook,30,1,Unknown,Turks and Caicos Islands
61.97369,-14.3040495,3,81.78,Twitter,58,0,Unknown,French Polynesia
33.720882,-10.3664465,0,42.91,Facebook,29,2,Negative,Israel
-9.513226,23.985367,2,21.72,LinkedIn,60,1,Negative,Chile
-77.374374,30.156034,1,17.19,LinkedIn,24,2,Neutral,Malaysia
4.6822977,-32.66995,0,72.44,Instagram,34,0,Unknown,Yemen
-62.365337,35.646736,1,8.88,Twitter,22,0,Unknown,Zimbabwe
82.26896,-16.607698,3,28.34,Facebook,56,2,Negative,Japan
43.02549,22.097107,3,27.79,Twitter,58,0,Neutral,Albania
79.48186,28.934345,3,15.36,Facebook,29,0,Neutral,French Guiana
19.677273,3.877489,2,32.93,Twitter,28,0,Unknown,Bulgaria
-82.26897,-21.484047,4,69.08,Instagram,56,2,Negative,Iran
29.365377,-43.21391,0,50.0,LinkedIn,19,0,Unknown,Saint Pierre and Miquelon
81.14786,13.308621,3,28.66,LinkedIn,59,1,Unknown,Egypt
-44.794266,32.39999,1,27.37,Facebook,55,2,Unknown,Uzbekistan
-64.40249,33.22756,1,18.2,Twitter,30,0,Unknown,Iran
76.28908,-11.774742,3,69.87,Facebook,55,0,Neutral,Panama
31.654915,-35.808807,0,57.01,Twitter,41,2,Unknown,Bermuda
63.79362,-7.841493,3,39.3,Instagram,30,2,Neutral,Kazakhstan
47.77492,-32.621536,0,70.78,Facebook,50,2,Positive,Mauritania
65.166756,11.783495,3,20.27,Twitter,28,1,Unknown,Mongolia
-35.606625,34.20579,1,12.42,Instagram,21,0,Unknown,Bulgaria
48.25532,32.66016,3,24.2,Facebook,53,1,Negative,New Zealand
16.017778,-31.47452,0,101.93,Twitter,64,0,Positive,Guam
-7.3408527,12.369488,2,11.97,Twitter,22,0,Negative,Bouvet Island (Bouvetoya)
-40.02975,7.7575207,1,38.61,Facebook,62,0,Neutral,Kazakhstan
-40.639603,-41.86321,4,109.89,Twitter,53,2,Positive,Taiwan
20.839258,-16.119566,0,66.72,Facebook,46,1,Positive,Bermuda
-57.414093,-26.978092,4,69.76,LinkedIn,24,0,Negative,Fiji
22.851946,-3.2786393,0,27.11,LinkedIn,28,2,Unknown,Poland
-73.01422,10.404402,1,28.5,LinkedIn,25,2,Neutral,Saint Vincent and the Grenadines
-51.55303,-16.119598,4,41.55,Twitter,45,1,Unknown,Bosnia and Herzegovina
26.300753,1.6229678,2,27.21,LinkedIn,22,0,Unknown,North Macedonia
67.09191,-25.28434,3,47.48,LinkedIn,63,0,Unknown,Nicaragua
-59.516434,-32.236706,4,44.24,Twitter,24,0,Negative,Burkina Faso
22.18949,37.619812,2,6.76,Facebook,38,0,Unknown,Peru
-11.230996,5.3449454,2,25.89,Twitter,22,1,Neutral,Saudi Arabia
-47.647907,33.742443,1,27.93,Twitter,55,2,Positive,Saint Kitts and Nevis
72.29705,35.835846,3,22.37,Instagram,63,0,Unknown,Israel
-32.162354,22.873318,1,18.16,Instagram,19,2,Unknown,Anguilla
73.55373,28.927988,3,15.76,LinkedIn,42,2,Positive,Mali
-57.63203,-16.256577,4,61.29,Facebook,52,2,Unknown,Tunisia
-14.580354,39.580246,2,9.52,LinkedIn,43,2,Unknown,Sweden
-32.14457,-0.81577027,4,26.67,LinkedIn,48,0,Unknown,Algeria
-7.636925,44.048595,2,10.42,LinkedIn,44,2,Positive,Falkland Islands (Malvinas)
12.666771,-28.970753,0,51.19,Twitter,22,2,Neutral,Burundi
-71.799484,10.398297,1,28.56,Instagram,57,1,Unknown,Turkmenistan
30.511528,-33.13368,0,106.05,LinkedIn,36,1,Unknown,Maldives
41.56647,17.429482,3,25.07,Instagram,34,1,Unknown,Qatar
-9.790227,41.083355,2,15.21,Twitter,18,2,Unknown,Falkland Islands (Malvinas)
64.15251,33.08018,3,34.51,Facebook,44,2,Unknown,Guadeloupe
-47.65405,37.48671,1,27.4,Facebook,46,2,Unknown,Netherlands
-77.65751,-20.931458,4,41.06,Facebook,59,1,Unknown,Congo
29.265684,17.610886,2,31.15,Facebook,43,1,Negative,Czech Republic
-49.831474,-6.7432694,4,22.18,Facebook,58,2,Unknown,Equatorial Guinea
-24.808609,-10.698113,4,34.56,Twitter,26,2,Negative,United States Virgin Islands
-52.95471,40.17073,1,21.83,LinkedIn,20,1,Unknown,Lesotho
55.112675,-32.050827,3,51.24,Twitter,49,2,Unknown,Albania
80.353294,36.520893,3,16.56,Facebook,47,1,Positive,Sweden
-0.22770324,-11.113,0,43.57,Twitter,39,0,Negative,Comoros
30.882513,-40.495926,0,23.56,Instagram,57,1,Positive,Mozambique
28.877975,-1.0094389,0,40.46,Twitter,46,1,Unknown,Monaco
44.122673,-34.17863,0,86.34,Facebook,23,0,Positive,Guam
-56.58526,-40.874184,4,156.68,Twitter,62,1,Neutral,El Salvador
19.013119,1.322169,2,32.06,Facebook,54,0,Positive,Qatar
68.19806,-23.740438,3,30.77,LinkedIn,25,1,Neutral,Zambia
-77.774536,-20.610065,4,39.3,LinkedIn,43,1,Unknown,Austria
-78.34792,5.4494166,1,17.73,Instagram,24,2,Neutral,Zimbabwe
46.784054,24.16424,3,28.68,Instagram,23,0,Negative,Brunei Darussalam
7.1059976,-10.958971,0,20.37,LinkedIn,48,1,Negative,Bosnia and Herzegovina
76.47314,38.198273,3,10.53,Twitter,62,0,Positive,Hong Kong
74.57923,-9.925184,3,49.5,Facebook,48,1,Unknown,Chile
44.220413,-5.9329524,3,45.95,LinkedIn,27,2,Neutral,Tonga
-25.226562,-23.074787,4,59.17,LinkedIn,65,0,Negative,Chile
-12.445475,25.105822,2,13.28,Twitter,51,0,Positive,Haiti
37.80588,39.29821,2,17.45,Facebook,62,1,Positive,Isle of Man
-81.79512,-25.465555,4,65.74,Facebook,38,1,Unknown,Malta
37.71776,-42.8665,0,9.7,LinkedIn,60,2,Positive,United States Virgin Islands
-10.369075,-21.396566,0,36.67,Instagram,24,1,Unknown,Netherlands
-11.0078945,-21.424847,0,51.34,Facebook,22,1,Neutral,Macao
19.353941,2.1947052,2,17.78,Instagram,32,0,Unknown,Bulgaria
-56.67858,40.372032,1,11.18,Instagram,32,2,Negative,Antarctica (the territory South of 60 deg S)
59.030502,-28.936008,3,30.09,Twitter,65,1,Unknown,Antigua and Barbuda
57.052204,32.586983,3,2.89,LinkedIn,23,2,Negative,Mauritania
-25.327265,-2.3026018,4,19.17,Instagram,64,1,Unknown,Hungary
73.68426,22.334146,3,5.18,Twitter,60,0,Unknown,Latvia
75.079926,35.86133,3,17.08,Facebook,38,2,Positive,Monaco
-8.582709,-41.324413,0,85.04,LinkedIn,58,2,Unknown,Mali
6.3232036,2.10308,2,32.97,Facebook,27,0,Neutral,France
17.842695,-46.898823,0,60.27,Instagram,61,2,Unknown,Belgium
-58.70727,-1.5531713,4,35.02,Facebook,54,2,Negative,Micronesia
19.110159,18.918432,2,31.81,Instagram,34,0,Neutral,Christmas Island
-22.686104,21.11251,1,26.32,LinkedIn,18,1,Negative,Qatar
-18.089586,45.70241,2,19.9,LinkedIn,42,2,Unknown,Saint Helena
-31.70837,42.33395,1,23.11,Instagram,24,1,Neutral,Cambodia
-22.343914,14.814438,2,23.39,Instagram,40,0,Unknown,Congo
45.923306,22.01255,3,23.72,Facebook,44,0,Neutral,Fiji
23.303503,44.016064,2,18.29,Facebook,29,0,Positive,Taiwan
72.97937,-28.806248,3,128.94,LinkedIn,57,0,Unknown,United States Virgin Islands
74.53343,-0.4344622,3,33.57,LinkedIn,48,0,Unknown,Saint Kitts and Nevis
19.475084,40.226448,2,12.46,Facebook,35,1,Positive,Portugal
43.542088,31.69671,3,23.3,Instagram,57,2,Unknown,Netherlands
28.174496,1.6576669,2,18.32,Twitter,47,2,Unknown,Guatemala
-33.185402,22.024315,1,29.27,Facebook,35,1,Unknown,Myanmar
-41.689613,-28.029747,4,61.39,Twitter,24,0,Positive,Peru
78.32887,-7.6527467,3,33.19,Twitter,22,0,Unknown,Cote d'Ivoire
-8.767644,-38.238487,0,73.51,Instagram,62,1,Unknown,Somalia
54.28638,11.811578,3,26.56,Twitter,55,0,Positive,Turks and Caicos Islands
-10.257771,-45.298134,0,127.05,LinkedIn,62,2,Neutral,Malawi
79.59724,21.70814,3,16.84,LinkedIn,26,0,Unknown,Ireland
29.89104,-12.6120615,0,39.24,Facebook,32,1,Positive,Bahrain
-33.70361,2.1685998,1,28.11,Instagram,48,0,Negative,Guernsey
-31.208609,-14.910996,4,40.65,Facebook,32,0,Unknown,New Zealand
-40.44702,1.0280646,4,28.95,Facebook,61,1,Positive,Equatorial Guinea
-82.03042,-4.65568,4,36.05,Twitter,44,1,Negative,France
78.25615,32.492626,3,19.36,Twitter,25,1,Unknown,Iceland
65.37552,32.0027,3,21.72,Facebook,34,0,Unknown,Nauru
52.00082,21.224045,3,18.61,LinkedIn,27,1,Positive,Greece
-14.558974,29.841055,2,22.69,Facebook,65,1,Unknown,British Indian Ocean Territory (Chagos Archipelago)
-3.7114415,31.178724,2,24.69,LinkedIn,24,2,Negative,Slovenia
-68.47202,-3.4742439,4,17.74,LinkedIn,52,2,Neutral,Peru
-56.878426,-24.616693,4,100.91,LinkedIn,30,2,Unknown,Swaziland
-42.081436,42.472958,1,19.92,Instagram,35,1,Negative,Micronesia
-66.611786,12.890944,1,19.95,LinkedIn,26,0,Unknown,Zimbabwe
-0.79878783,43.903217,2,21.66,Twitter,57,2,Unknown,Mayotte
-49.04402,-41.988667,4,245.55,Twitter,45,0,Positive,Albania
59.33897,28.884527,3,5.74,LinkedIn,50,2,Unknown,French Southern Territories
48.931385,3.986513,3,9.27,LinkedIn,27,2,Unknown,Yemen
-25.573557,-23.074455,4,61.45,LinkedIn,40,2,Unknown,Armenia
-31.106443,-24.618876,4,58.88,Twitter,28,0,Unknown,Burundi
-30.935566,36.84437,1,28.53,Instagram,51,1,Unknown,Malaysia
-64.00008,-10.525854,4,28.66,Facebook,63,2,Neutral,Lebanon
0.7868591,11.637264,2,15.39,LinkedIn,40,2,Unknown,Angola
-19.709494,4.5775633,2,35.36,Facebook,27,0,Neutral,Palau
-40.057297,12.9340105,1,21.09,Twitter,33,0,Unknown,Cameroon
-17.74282,43.821537,2,13.38,Facebook,27,0,Positive,New Zealand
1.2236016,-4.2852836,0,44.28,LinkedIn,63,0,Unknown,Tonga
-58.414814,-39.555973,4,110.57,LinkedIn,63,0,Positive,Saint Vincent and the Grenadines
67.74099,-25.084099,3,49.62,Twitter,31,1,Negative,Micronesia
35.598137,-13.757698,0,36.55,LinkedIn,52,1,Unknown,Mauritius
22.08296,45.04729,2,23.46,Facebook,41,2,Negative,Tajikistan
-19.050179,1.90786,2,50.7,Twitter,34,1,Unknown,Lithuania
-61.23727,-37.183544,4,94.71,Facebook,48,1,Negative,Qatar
-55.90325,-38.199417,4,122.19,Twitter,25,2,Neutral,South Georgia and the South Sandwich Islands
-28.652927,10.395358,1,10.37,Facebook,23,1,Unknown,Cuba
-14.779299,26.0542,2,19.33,LinkedIn,27,1,Negative,Libyan Arab Jamahiriya
77.14261,26.40144,3,15.9,Facebook,56,0,Neutral,Korea
50.95373,22.669476,3,6.32,Twitter,63,2,Unknown,Honduras
-80.60727,32.4762,1,22.65,LinkedIn,20,2,Negative,Ecuador
-2.365931,-44.57581,0,111.65,Facebook,43,0,Unknown,Guinea-Bissau
68.07888,23.529364,3,29.89,Instagram,54,1,Negative,Jordan
-70.428246,-31.568913,4,28.79,Facebook,51,1,Unknown,Jersey
-34.60671,0.09287158,4,15.09,LinkedIn,54,1,Unknown,Guernsey
-8.532412,40.21621,2,20.95,Twitter,37,1,Unknown,Belgium
-52.488815,-41.08609,4,128.36,Facebook,28,0,Unknown,French Polynesia
-64.6482,35.28995,1,18.78,Facebook,18,0,Neutral,Guadeloupe
45.97942,15.753519,3,18.06,LinkedIn,60,0,Negative,Ukraine
35.797024,-21.539433,0,39.84,LinkedIn,20,2,Unknown,Estonia
78.10298,19.256466,3,12.9,LinkedIn,37,2,Neutral,Cote d'Ivoire
79.311455,25.96731,3,16.63,Instagram,54,2,Unknown,Senegal
-46.98415,35.858242,1,30.04,Facebook,37,1,Positive,Gibraltar
-36.861496,30.900179,1,23.92,Twitter,26,1,Unknown,Iran
10.547941,-37.26426,0,82.86,Twitter,57,1,Negative,Poland
68.93853,27.710663,3,23.59,LinkedIn,40,0,Positive,Lithuania
-75.23879,-33.186058,4,94.83,Facebook,38,0,Unknown,Tuvalu
35.073536,28.498938,2,21.64,Instagram,25,2,Unknown,South Georgia and the South Sandwich Islands
40.666416,-1.6152225,3,28.58,Facebook,63,0,Positive,Georgia
-35.88678,13.917541,1,21.82,LinkedIn,40,2,Unknown,Marshall Islands
11.986209,-44.827755,0,108.71,Facebook,62,0,Negative,Philippines
29.336681,-42.538113,0,67.3,Instagram,29,1,Unknown,Korea
56.009693,27.230595,3,25.81,Instagram,21,2,Positive,Luxembourg
-40.949,0.4426437,4,31.9,Twitter,29,2,Unknown,Turkey
-12.981677,-24.33865,0,57.99,LinkedIn,18,0,Positive,Aruba
-33.70396,-19.742142,4,11.78,Instagram,38,2,Unknown,Norway
